Timestamp,Which year are you in?,How are you feeling right now?,"On a scale of 1-100, how would you express this feeling?",Gender,Age,Your location ?,Relationship status,Are you happy with your financial state?,How much have you succeeded to cope up with the environment of your educational institution?,Understanding with your family members?,Are you feeling pressure in your study or work right now?,Are you satisfied with your academic result?,Are you happy with your living place?,Who supports you when you are not succeeding in your academic life?,Have you used any social media within the last 6 hours?,Do you have inferiority complex? ,Are you satisfied with your meal today?,Are you feeling sick/health issues today?,"Have you done any recreational activity (sports, gaming, hobby etc.) today?",How long did you sleep last night?(in hours)
11/23/2020 18:24,4th year,Normal,65,Male,22,Home,Single,Yes,3,Good,Yes,No,Yes,Family,Yes,Yes,Yes,No,No,8
11/24/2020 9:43,4th year,Good,75,Male,22,Home,Single,Yes,3,Normal,Yes,No,Yes,Family,No,No,Yes,Yes,No,6
11/24/2020 9:52,2nd year,Bad,25,Male,22,Home,Single,Yes,2,Normal,Yes,No,No,No one,Yes,Yes,Yes,Yes,Yes,6
11/24/2020 9:58,3rd year,Bad,25,Male,22,Home,Single,Yes,1,Good,Yes,Yes,No,Family,Yes,Yes,Yes,Yes,Yes,6
11/24/2020 19:17,1st year,Normal,50,Male,22,Home,Single,Yes,3,Good,Yes,No,Yes,No one,Yes,Yes,Yes,Yes,Yes,6
11/24/2020 19:18,2nd year,Good,75,Male,22,Hall-Mess,Single,Yes,4,Good,Yes,Yes,No,Friends,No,Yes,Yes,Yes,Yes,7
11/24/2020 19:20,2nd year,Good,75,Male,20,Hall-Mess,Single,Yes,4,Normal,Yes,Yes,No,Friends,Yes,Yes,Yes,No,No,7
11/24/2020 19:22,2nd year,Normal,60,Male,20,Hall-Mess,Single,Yes,3,Normal,Yes,Yes,Yes,Family,No,Yes,Yes,No,Yes,8
11/24/2020 19:24,1st year,Very bad,10,Male,19,Hall-Mess,Single,Yes,2,Good,Yes,No,No,No one,No,Yes,Yes,No,No,6
11/24/2020 19:27,4th year,Good,80,Male,22,Home,Single,Yes,4,Good,Yes,Yes,Yes,Family,Yes,Yes,Yes,Yes,No,8
11/29/2020 0:33,4th year,Very good,90,Male,22,Home,Single,Yes,3,Good,Yes,No,Yes,Family,Yes,No,Yes,No,Yes,8
11/29/2020 0:39,4th year,Normal,50,Male,22,Home,Single,Yes,2,Normal,Yes,No,Yes,Family,Yes,Yes,Yes,Yes,No,6
11/29/2020 0:40,4th year,Good,70,Male,22,Home,Single,Yes,4,Good,No,No,Yes,Family,Yes,Yes,Yes,Yes,Yes,6
11/29/2020 0:42,4th year,Good,80,Male,22,Home,Single,Yes,3,Good,No,Yes,No,Family,Yes,Yes,Yes,Yes,Yes,7
11/29/2020 0:44,4th year,Good,75,Male,22,Home,Single,Yes,3,Good,No,No,Yes,Family,Yes,Yes,Yes,No,No,7
11/29/2020 0:47,4th year,Bad,30,Male,22,Home,Single,Yes,1,Good,Yes,No,No,Family,Yes,Yes,No,Yes,Yes,6
11/29/2020 0:50,4th year,Good,75,Male,22,Home,Single,Yes,3,Good,Yes,No,Yes,Family,Yes,Yes,Yes,No,Yes,7
